name	site	target	counts	exps	overall	all_exps	SGD
NIBR_1555:36.94uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_189:86.372uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2112:36uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2252:15uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2470:15uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2569:45uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2680:2uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2835|A:3uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2835|B:3uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_2896:195uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_4006:2.4uM	NIBR	TIM54	29	2	29	2	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_4176:32uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_4494:80uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5214:100uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5230:2.5uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5247:28uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5247:35uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5305:2uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5323:18uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5386:0.5uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5389:5uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5398:0.75uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_555:1.31uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5638:2uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5651:4uM	NIBR	TIM54	29	2	29	2	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5654:3uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_5664:2uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_amitriptyline:50uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_chlorpromazine:25.28uM	NIBR	TIM54	29	1	29	1	<a href=https://www.yeastgenome.org/locus/TIM54>TIM54</a>
NIBR_1257:34.304uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_1257:42.888uM	NIBR	SAM50	13	2	13	2	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_1257:42.88uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_1545:3.419uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_1545:5uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2112:11.39uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_2112:18uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_2549|B:1.5uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2561:7.5uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_2568:100uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2607:88.898uM	NIBR	KOG1	13	3	15	3	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_2608:200uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_2783:5uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2788:18uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2810:110uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2851:20uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_2851:30uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_3662:0.75uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_3662:1uM	NIBR	KOG1	13	2	15	2	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_3697:0.4uM	NIBR	SAM50	13	2	13	2	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_3697|A:0.8uM	NIBR	SAM50	13	2	13	2	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_3697|B:0.8uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_4179:1.5uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_4537:50uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_4733:200uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_4798:2.5uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_5193:30uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_5206:0.4uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_5260:1.75uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_5686:90uM	NIBR	FAS1	13	2	15	2	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_5708:30uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_caffeine:2000uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_cerulenin:1.6uM	NIBR	FAS1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/FAS1>FAS1</a>
NIBR_lysolipin x:2uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_lysolipin x:3uM	NIBR	SAM50	13	1	13	1	<a href=https://www.yeastgenome.org/locus/SAM50>SAM50</a>
NIBR_rapamycin:0.0005uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_rapamycin:0.0008uM	NIBR	KOG1	13	2	15	2	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_rapamycin:0.001uM	NIBR	KOG1	13	2	15	2	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_rapamycin:0.03uM	NIBR	KOG1	13	1	15	1	<a href=https://www.yeastgenome.org/locus/KOG1>KOG1</a>
NIBR_1077:198.797uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_1077:198.8uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_1272:75.02uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_285:200uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_3054|A:30uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_3570:5uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_3683:3.5uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_4194:150uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_dactinomycin:75.238uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_doxorubicin|A:28.066uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_doxorubicin|B:28.066uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_ravidomycin:12.75uM	NIBR	SSL2	12	1	16	1	<a href=https://www.yeastgenome.org/locus/SSL2>SSL2</a>
NIBR_1078:126.898uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_1078:126.9uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_118:0.04uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_5219:100uM	NIBR	RPL15A	8	2	9	2	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_5219:150uM	NIBR	RPL15A	8	2	9	2	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_5219:50uM	NIBR	RPL15A	8	2	9	2	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_5221:120uM	NIBR	RPL15A	8	1	9	1	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_5221:45uM	NIBR	RPL15A	8	1	9	1	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_5221:60uM	NIBR	RPL15A	8	2	9	2	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_5221:80uM	NIBR	RPL15A	8	2	9	2	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_6-azauridine|A:200uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_6-azauridine|B:200uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_ascomycin:100uM	NIBR	RPL15A	8	2	9	2	<a href=https://www.yeastgenome.org/locus/RPL15A>RPL15A</a>
NIBR_mycophenolic:100uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_mycophenolic:120uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_mycophenolic:70uM	NIBR	POP1	8	1	12	1	<a href=https://www.yeastgenome.org/locus/POP1>POP1</a>
NIBR_1439:300uM	NIBR	RIM2	7	1	10	1	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_1439:400uM	NIBR	RIM2	7	1	10	1	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_1439|B:200uM	NIBR	RIM2	7	1	10	1	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_1440:300uM	NIBR	RIM2	7	1	10	1	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_1538:26.908uM	NIBR	RIM2	7	1	10	1	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_1538:34uM	NIBR	RIM2	7	1	10	1	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_2-deoxy-d-glucose:500uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_2537:10uM	NIBR	RIM2	7	2	10	2	<a href=https://www.yeastgenome.org/locus/RIM2>RIM2</a>
NIBR_3689:0.3uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_3689:0.6uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_4117:135uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_4904:2uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_4904:4uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_aclarubicin:4.857uM	NIBR	RPO31	7	1	15	1	<a href=https://www.yeastgenome.org/locus/RPO31>RPO31</a>
NIBR_105:0.4uM	NIBR	NMD3	6	1	6	1	<a href=https://www.yeastgenome.org/locus/NMD3>NMD3</a>
NIBR_1208:25.61uM	NIBR	ACS2	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ACS2>ACS2</a>
NIBR_1209:12.8uM	NIBR	ACS2	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ACS2>ACS2</a>
NIBR_1210:200uM	NIBR	ACS2	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ACS2>ACS2</a>
NIBR_1211:100uM	NIBR	ACS2	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ACS2>ACS2</a>
NIBR_1383:2.5uM	NIBR	NMD3	6	1	6	1	<a href=https://www.yeastgenome.org/locus/NMD3>NMD3</a>
NIBR_151:29.759uM	NIBR	ERG9	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ERG9>ERG9</a>
NIBR_151:30uM	NIBR	ERG9	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ERG9>ERG9</a>
NIBR_151:40uM	NIBR	ERG9	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ERG9>ERG9</a>
NIBR_2200|A:75uM	NIBR	CMD1	6	1	9	1	<a href=https://www.yeastgenome.org/locus/CMD1>CMD1</a>
NIBR_2228:40uM	NIBR	CMD1	6	1	9	1	<a href=https://www.yeastgenome.org/locus/CMD1>CMD1</a>
NIBR_2607:88.898uM	NIBR	AVO1	6	3	6	3	<a href=https://www.yeastgenome.org/locus/AVO1>AVO1</a>
NIBR_2828:0.5uM	NIBR	NMD3	6	1	6	1	<a href=https://www.yeastgenome.org/locus/NMD3>NMD3</a>
NIBR_2869:195uM	NIBR	NMD3	6	1	6	1	<a href=https://www.yeastgenome.org/locus/NMD3>NMD3</a>
NIBR_3047:8uM	NIBR	CMD1	6	1	9	1	<a href=https://www.yeastgenome.org/locus/CMD1>CMD1</a>
NIBR_355:190uM	NIBR	ERG9	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ERG9>ERG9</a>
NIBR_4757:2uM	NIBR	AVO1	6	2	6	2	<a href=https://www.yeastgenome.org/locus/AVO1>AVO1</a>
NIBR_4784:7uM	NIBR	AVO1	6	1	6	1	<a href=https://www.yeastgenome.org/locus/AVO1>AVO1</a>
NIBR_5003:42.928uM	NIBR	AVO1	6	2	6	2	<a href=https://www.yeastgenome.org/locus/AVO1>AVO1</a>
NIBR_5050:62.235uM	NIBR	AVO1	6	1	6	1	<a href=https://www.yeastgenome.org/locus/AVO1>AVO1</a>
NIBR_5097:65.43uM	NIBR	AVO1	6	1	6	1	<a href=https://www.yeastgenome.org/locus/AVO1>AVO1</a>
NIBR_5219:100uM	NIBR	SPP41	6	2	7	2	<a href=https://www.yeastgenome.org/locus/SPP41>SPP41</a>
NIBR_5219:150uM	NIBR	SPP41	6	2	7	2	<a href=https://www.yeastgenome.org/locus/SPP41>SPP41</a>
NIBR_5219:50uM	NIBR	SPP41	6	2	7	2	<a href=https://www.yeastgenome.org/locus/SPP41>SPP41</a>
NIBR_5221:60uM	NIBR	SPP41	6	2	7	2	<a href=https://www.yeastgenome.org/locus/SPP41>SPP41</a>
NIBR_5221:80uM	NIBR	SPP41	6	2	7	2	<a href=https://www.yeastgenome.org/locus/SPP41>SPP41</a>
NIBR_5291:80uM	NIBR	CMD1	6	1	9	1	<a href=https://www.yeastgenome.org/locus/CMD1>CMD1</a>
NIBR_5385:8uM	NIBR	CMD1	6	1	9	1	<a href=https://www.yeastgenome.org/locus/CMD1>CMD1</a>
NIBR_5814:200uM	NIBR	CMD1	6	1	9	1	<a href=https://www.yeastgenome.org/locus/CMD1>CMD1</a>
NIBR_ascomycin:100uM	NIBR	SPP41	6	2	7	2	<a href=https://www.yeastgenome.org/locus/SPP41>SPP41</a>
NIBR_hydroxyurea:16600uM	NIBR	ACS2	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ACS2>ACS2</a>
NIBR_hydroxyurea:8300uM	NIBR	ACS2	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ACS2>ACS2</a>
NIBR_quinacrine:180uM	NIBR	NMD3	6	1	6	1	<a href=https://www.yeastgenome.org/locus/NMD3>NMD3</a>
NIBR_quinacrine|B:200uM	NIBR	NMD3	6	1	6	1	<a href=https://www.yeastgenome.org/locus/NMD3>NMD3</a>
NIBR_squalestatin:13.62uM	NIBR	ERG9	6	2	7	2	<a href=https://www.yeastgenome.org/locus/ERG9>ERG9</a>
NIBR_squalestatin:8uM	NIBR	ERG9	6	1	7	1	<a href=https://www.yeastgenome.org/locus/ERG9>ERG9</a>
NIBR_100:0.25uM	NIBR	TOM40	5	1	9	1	<a href=https://www.yeastgenome.org/locus/TOM40>TOM40</a>
NIBR_278:30.23uM	NIBR	ERG1	5	1	6	1	<a href=https://www.yeastgenome.org/locus/ERG1>ERG1</a>
NIBR_3697:0.4uM	NIBR	TOM40	5	2	9	2	<a href=https://www.yeastgenome.org/locus/TOM40>TOM40</a>
NIBR_3697|A:0.8uM	NIBR	TOM40	5	2	9	2	<a href=https://www.yeastgenome.org/locus/TOM40>TOM40</a>
NIBR_5280:32uM	NIBR	TOM40	5	1	9	1	<a href=https://www.yeastgenome.org/locus/TOM40>TOM40</a>
NIBR_5447:1uM	NIBR	TOM40	5	1	9	1	<a href=https://www.yeastgenome.org/locus/TOM40>TOM40</a>
NIBR_551:120uM	NIBR	ERG1	5	1	6	1	<a href=https://www.yeastgenome.org/locus/ERG1>ERG1</a>
NIBR_naftifine|A:71uM	NIBR	ERG1	5	1	6	1	<a href=https://www.yeastgenome.org/locus/ERG1>ERG1</a>
NIBR_naftifine|B:71uM	NIBR	ERG1	5	1	6	1	<a href=https://www.yeastgenome.org/locus/ERG1>ERG1</a>
NIBR_terbinafine:12.38uM	NIBR	ERG1	5	1	6	1	<a href=https://www.yeastgenome.org/locus/ERG1>ERG1</a>
NIBR_107:0.25uM	NIBR	TUB2	4	1	5	1	<a href=https://www.yeastgenome.org/locus/TUB2>TUB2</a>
NIBR_107:0.4uM	NIBR	TUB2	4	1	5	1	<a href=https://www.yeastgenome.org/locus/TUB2>TUB2</a>
NIBR_1509:3.869uM	NIBR	TUB2	4	1	5	1	<a href=https://www.yeastgenome.org/locus/TUB2>TUB2</a>
NIBR_2550:2uM	NIBR	ERV1	4	2	5	2	<a href=https://www.yeastgenome.org/locus/ERV1>ERV1</a>
NIBR_2550:2uM	NIBR	MIA40	4	2	4	2	<a href=https://www.yeastgenome.org/locus/MIA40>MIA40</a>
NIBR_2683:7uM	NIBR	GWT1	4	1	4	1	<a href=https://www.yeastgenome.org/locus/GWT1>GWT1</a>
NIBR_2683:9uM	NIBR	GWT1	4	1	4	1	<a href=https://www.yeastgenome.org/locus/GWT1>GWT1</a>
NIBR_2774:30uM	NIBR	MIA40	4	1	4	1	<a href=https://www.yeastgenome.org/locus/MIA40>MIA40</a>
NIBR_2814:60uM	NIBR	MIA40	4	1	4	1	<a href=https://www.yeastgenome.org/locus/MIA40>MIA40</a>
NIBR_414:80uM	NIBR	CTF13	4	3	4	3	<a href=https://www.yeastgenome.org/locus/CTF13>CTF13</a>
NIBR_414:80uM	NIBR	YDR327W	4	3	4	3	<a href=https://www.yeastgenome.org/locus/YDR327W>YDR327W</a>
NIBR_4151:6uM	NIBR	ERV1	4	1	5	1	<a href=https://www.yeastgenome.org/locus/ERV1>ERV1</a>
NIBR_4157:10uM	NIBR	ERV1	4	1	5	1	<a href=https://www.yeastgenome.org/locus/ERV1>ERV1</a>
NIBR_4157:7.5uM	NIBR	ERV1	4	1	5	1	<a href=https://www.yeastgenome.org/locus/ERV1>ERV1</a>
NIBR_505:4.55uM	NIBR	VRG4	4	1	4	1	<a href=https://www.yeastgenome.org/locus/VRG4>VRG4</a>
NIBR_530:135uM	NIBR	ALR1	4	1	4	1	<a href=https://www.yeastgenome.org/locus/ALR1>ALR1</a>
NIBR_5415:18uM	NIBR	ALR1	4	1	4	1	<a href=https://www.yeastgenome.org/locus/ALR1>ALR1</a>
NIBR_545:6.78uM	NIBR	ALR1	4	1	4	1	<a href=https://www.yeastgenome.org/locus/ALR1>ALR1</a>
NIBR_5575:6uM	NIBR	GWT1	4	1	4	1	<a href=https://www.yeastgenome.org/locus/GWT1>GWT1</a>
