condition	GO_enrichment	concord	compound	SGTC_ID	SGTC_ID.BP	signature	type	drug
NIBR_ascomycin:100uM	NIBR_ascomycin:100uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_ascomycin_100_2019-09-16-15-56-07_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_ascomycin_100</a>	0.4	6630449	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2242>SGTC_2242</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2242.BP>SGTC_2242.BP</a>	Golgi	major	ascomycin
NIBR_ascosteroside:0.02uM	NIBR_ascosteroside:0.02uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_ascosteroside_0.02_2019-09-16-15-56-10_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_ascosteroside_0.02</a>	0.49	9136860	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_3266>SGTC_3266</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_3266.BP>SGTC_3266.BP</a>	cell wall	major	ascosteroside
NIBR_azalomycin b:30uM	NIBR_azalomycin b:30uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_azalomycinb_30_2019-09-16-15-56-15_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_azalomycinb_30</a>	0.52	clozapine	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_232>SGTC_232</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_232.BP>SGTC_232.BP</a>	NEO1	major	azalomycinb
NIBR_bafilomycin a1:43.694uM	NIBR_bafilomycin a1:43.694uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_bafilomycina1_43.694_2019-09-16-15-56-18_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_bafilomycina1_43.694</a>	0.62	justicidin b . 9-(1,3-benzodioxol-5-yl)- 6,7-dimethoxynaphtho[2,3-c]furan-1(3h)-one	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1593>SGTC_1593</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1593.BP>SGTC_1593.BP</a>	redox potentiating	major	bafilomycina1
NIBR_benzethonium:14uM	NIBR_benzethonium:14uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_benzethonium_14_2019-09-16-15-56-21_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_benzethonium_14</a>	0.95	st003709	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1623>SGTC_1623</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1623.BP>SGTC_1623.BP</a>	calcium & mitochondrial duress	major	benzethonium
UBC_bleomycin:30.5nM	UBC_bleomycin:30.5nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_bleomycin_2019-09-16-15-56-26_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_bleomycin</a>	0.59	0136-0228	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_748>SGTC_748</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_748.BP>SGTC_748.BP</a>	redox potentiating	major	bleomycin
NIBR_bleomycin:0.05uM	NIBR_bleomycin:0.05uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_bleomycina2_0.05_2019-09-16-15-56-30_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_bleomycina2_0.05</a>	0.66	lucigenin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_117>SGTC_117</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_117.BP>SGTC_117.BP</a>	redox potentiating	major	bleomycina2
NIBR_bleomycin:0.075uM	NIBR_bleomycin:0.075uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_bleomycina2_0.075_2019-09-16-15-56-33_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_bleomycina2_0.075</a>	0.58	lucigenin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_117>SGTC_117</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_117.BP>SGTC_117.BP</a>	redox potentiating	major	bleomycina2
NIBR_boromycin:4uM	NIBR_boromycin:4uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_boromycin_4_2019-09-16-15-56-36_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_boromycin_4</a>	0.48	4119-0100	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_301>SGTC_301</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_301.BP>SGTC_301.BP</a>	NEO1	major	boromycin
NIBR_borrelidin:45uM	NIBR_borrelidin:45uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_borrelidin_45_2019-09-16-15-56-39_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_borrelidin_45</a>	0.62	st001878	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1602>SGTC_1602</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1602.BP>SGTC_1602.BP</a>		unique	borrelidin
NIBR_bortezomib:200uM	NIBR_bortezomib:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_bortezomib_200_2019-09-16-15-56-42_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_bortezomib_200</a>	0.54	1488-2104	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_187>SGTC_187</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_187.BP>SGTC_187.BP</a>	calcium & mitochondrial duress	major	bortezomib
NIBR_bortezomib:300uM	NIBR_bortezomib:300uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_bortezomib_300_2019-09-16-15-56-45_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_bortezomib_300</a>	0.5	0091-0265	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_837>SGTC_837</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_837.BP>SGTC_837.BP</a>	ubiquinone biosynthesis & proteasome	major	bortezomib
NIBR_CaCl:45nM	NIBR_CaCl:45nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_CaCl_45000_2019-09-16-15-56-49_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_CaCl_45000</a>	0.51	purpurogallin-4-carboxylic acid	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2615>SGTC_2615</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2615.BP>SGTC_2615.BP</a>	redox potentiating	major	CaCl
NIBR_CaCl:52nM	NIBR_CaCl:52nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_CaCl_52000_2019-09-16-15-56-52_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_CaCl_52000</a>	0.49	purpurogallin-4-carboxylic acid	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2615>SGTC_2615</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2615.BP>SGTC_2615.BP</a>	redox potentiating	major	CaCl
UBC_caffeine:993.06uM	UBC_caffeine:993.06uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_caffeine_2019-09-16-15-56-55_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_caffeine</a>	0.39	lomerizine	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2755>SGTC_2755</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2755.BP>SGTC_2755.BP</a>		unique	caffeine
NIBR_caffeine:1nM	NIBR_caffeine:1nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_caffeine_1000_2019-09-16-15-56-57_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_caffeine_1000</a>	0.25	toremifene	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2769>SGTC_2769</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2769.BP>SGTC_2769.BP</a>		unique	caffeine
NIBR_caffeine:1.5nM	NIBR_caffeine:1.5nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_caffeine_1500_2019-09-16-15-57-00_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_caffeine_1500</a>	0.32	wortmannin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1877>SGTC_1877</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1877.BP>SGTC_1877.BP</a>	4	minor	caffeine
NIBR_caffeine:2nM	NIBR_caffeine:2nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_caffeine_2000_2019-09-16-15-57-02_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_caffeine_2000</a>	0.32	wortmannin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1877>SGTC_1877</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1877.BP>SGTC_1877.BP</a>	4	minor	caffeine
NIBR_caffeine:500uM	NIBR_caffeine:500uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_caffeine_500_2019-09-16-15-57-05_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_caffeine_500</a>	0.43	toremifene	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2769>SGTC_2769</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2769.BP>SGTC_2769.BP</a>		unique	caffeine
NIBR_calmidazolium:4.5uM	NIBR_calmidazolium:4.5uM	no GO enrichment							calmidazolium
NIBR_calmidazolium:7uM	NIBR_calmidazolium:7uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_calmidazolium_7_2019-09-16-15-57-11_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_calmidazolium_7</a>	0.74	1488-2104	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_187>SGTC_187</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_187.BP>SGTC_187.BP</a>	calcium & mitochondrial duress	major	calmidazolium
UBC_camptothecin:424.86nM	UBC_camptothecin:424.86nM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_camptothecinA_2019-09-16-15-57-15_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_camptothecinA</a>	0.56	mitomycin C	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2677>SGTC_2677</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2677.BP>SGTC_2677.BP</a>	DNA damage response	major	camptothecin
UBC_camptothecin:39.62uM	UBC_camptothecin:39.62uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_camptothecinB_2019-09-16-15-57-20_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_camptothecinB</a>	0.59	camptothecin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_268>SGTC_268</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_268.BP>SGTC_268.BP</a>	DNA damage response	major	camptothecin
NIBR_camptothecin:200uM	NIBR_camptothecin:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=NIBR_camptothecin_200_2019-09-16-15-57-24_fdrThresh_0.1_MCL_HyperG_withNonEnrich>NIBR_camptothecin_200</a>	0.73	4-Nitroquinoline-1-oxide  (4-NQO)	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_267>SGTC_267</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_267.BP>SGTC_267.BP</a>	DNA damage response	major	camptothecin
